From_Node,To_Node,Heat_Flow_W,Transfer_Mode,Thermal_Resistance,Temp_Difference_K
ESC,ESC_Mount,-489.97499999999997,Conduction,0.15306903413439463,-75.0
BH_1,Top_Shell_Int,-0.005616000000000001,Conduction,534.1880341880341,-3.0
BH_1,Bot_Shell_Int,-0.005616000000000001,Conduction,534.1880341880341,-3.0
BH_2,Top_Shell_Int,-0.005616000000000001,Conduction,534.1880341880341,-3.0
BH_2,Bot_Shell_Int,-0.005616000000000001,Conduction,534.1880341880341,-3.0
BH_3,Top_Shell_Int,-0.005616000000000001,Conduction,534.1880341880341,-3.0
BH_3,Bot_Shell_Int,-0.005616000000000001,Conduction,534.1880341880341,-3.0
BH_4,Top_Shell_Int,-0.005616000000000001,Conduction,534.1880341880341,-3.0
BH_4,Bot_Shell_Int,-0.005616000000000001,Conduction,534.1880341880341,-3.0
Top_Shell_Int,Top_Shell_Ext,-0.6504,Conduction,3.075030750307503,-2.0
Bot_Shell_Int,Bot_Shell_Ext,-0.6504,Conduction,3.075030750307503,-2.0
Batt_BF_Top,ESC,5.5760343832383965,Radiation,2383200759.1176744,75.0
Batt_BF_Bot,ESC,5.5760343832383965,Radiation,2383200759.1176744,75.0
Batt_BM_Top,ESC,5.5760343832383965,Radiation,2383200759.1176744,75.0
Batt_BM_Bot,ESC,5.5760343832383965,Radiation,2383200759.1176744,75.0
Batt_BR_Top,ESC,5.5760343832383965,Radiation,2383200759.1176744,75.0
Batt_BR_Bot,ESC,5.5760343832383965,Radiation,2383200759.1176744,75.0
Batt_BF_Top,Top_Shell_Int,-0.5755268196767299,Radiation,642448407.8911984,-3.0
Batt_BM_Top,Top_Shell_Int,-0.5755268196767299,Radiation,642448407.8911984,-3.0
Batt_BR_Top,Top_Shell_Int,-0.5755268196767299,Radiation,642448407.8911984,-3.0
Batt_BF_Bot,Bot_Shell_Int,-0.5755268196767299,Radiation,642448407.8911984,-3.0
Batt_BM_Bot,Bot_Shell_Int,-0.5755268196767299,Radiation,642448407.8911984,-3.0
Batt_BR_Bot,Bot_Shell_Int,-0.5755268196767299,Radiation,642448407.8911984,-3.0
ESC,Top_Shell_Int,-5.784822084236888,Radiation,2361102116.038852,-78.0
plateT,Top_Shell_Int,-3.134147519710679,Radiation,117973479.76592124,-3.0
plateB,Bot_Shell_Int,-3.134147519710679,Radiation,117973479.76592124,-3.0
ESC_Mount,Bot_Shell_Int,-0.808304590653588,Radiation,457434354.91443443,-3.0
Batt_BF_Top,Internal_air,1.2942703121665438,Convection_Natural,2.317908378025105,3.0
Batt_BF_Bot,Internal_air,1.2942703121665438,Convection_Natural,2.317908378025105,3.0
Batt_BM_Top,Internal_air,1.2942703121665438,Convection_Natural,2.317908378025105,3.0
Batt_BM_Bot,Internal_air,1.2942703121665438,Convection_Natural,2.317908378025105,3.0
Batt_BR_Top,Internal_air,1.2942703121665438,Convection_Natural,2.317908378025105,3.0
Batt_BR_Bot,Internal_air,1.2942703121665438,Convection_Natural,2.317908378025105,3.0
ESC,Internal_air,-4.556283373629058,Convection_Natural,15.802353386692966,-72.0
ESC_Mount,Internal_air,0.08120016738000002,Convection_Natural,36.945736650524616,3.0
BH_1,Internal_air,0.47434415711392386,Convection_Natural,6.3245218793313525,3.0
BH_2,Internal_air,0.47434415711392386,Convection_Natural,6.3245218793313525,3.0
BH_3,Internal_air,0.47434415711392386,Convection_Natural,6.3245218793313525,3.0
BH_4,Internal_air,0.47434415711392386,Convection_Natural,6.3245218793313525,3.0
plateT,Internal_air,1.8663601204005695,Convection_Natural,1.6074068274434206,3.0
plateM,Internal_air,1.01366412133644,Convection_Natural,2.959560210185525,3.0
plateB,Internal_air,1.8663601204005695,Convection_Natural,1.6074068274434206,3.0
Top_Shell_Int,Internal_air,5.030385790789424,Convection_Natural,1.192751460730095,6.0
Top_Shell_Ext,Ambient,-152.8388444043316,Convection_External,0.14852245244636675,-22.69999999999999
Bot_Shell_Int,Internal_air,5.030385790789424,Convection_Natural,1.192751460730095,6.0
Bot_Shell_Ext,Ambient,-152.8388444043316,Convection_External,0.14852245244636675,-22.69999999999999
